paper_forum,n_reviews,n_roots,max_depth,avg_depth
zEn1BhaNYsC,5,5,0,0.0
z9SIj-IM7tn,4,4,0,0.0
zA7hVj3rR19,4,4,0,0.0
zAbFj7FpD-C,4,4,0,0.0
zAxuIJLb38,4,4,0,0.0
zClyiZ5V6sL,4,4,0,0.0
zDiHoIWa0q1,4,4,0,0.0
zDjtZZBZtqK,4,4,0,0.0
zGy_wqpRGTa,4,4,0,0.0
zH9GcZ3ZGXu,4,4,0,0.0
zHSaBQtj-l,4,4,0,0.0
zKvm1ETDOq,4,4,0,0.0
zNq-jISUm7E,4,4,0,0.0
zOHQGKO3WGY,4,4,0,0.0
zQWqV2tzDv,4,4,0,0.0
zS9sRyaPFlJ,4,4,0,0.0
zU8O5w0Wnh1,4,4,0,0.0
zJXg_Wmob03,3,3,0,0.0
zNQ0IywxSuU,3,3,0,0.0
zT5T9gHpGI,3,3,0,0.0
